Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_77,20.631352969474605,4.290572840959601,4.039431886460339,0.2079637165486808,0.19579093491526875,0.9414668008658973,0.8042090650847312,0.9948892675141812,20,498548,443374,42.50565936794416,26.972955145625793,23399318568.925133,[-13.53384294   2.38192444   6.01158161],"[[ 0.95894128 -0.16094328 -0.23351421]
 [-0.04495736 -0.89923386  0.43515204]
 [-0.28001868 -0.40678707 -0.86954805]]"
object_78,2.359028410020881,2.1887763337594524,0.7928197195154423,0.92782957783034,0.33607891967202913,0.36222052810379735,0.6639210803279709,0.15684811901004944,8,373670,334529,11.384116253913145,3.885046110328125,17985363915.88947,[ 0.05540372 -0.28324022  0.45312871],"[[-0.08351479 -0.05343682 -0.99507275]
 [-0.609271    0.79291593  0.00855438]
 [ 0.78855192  0.60698339 -0.09877771]]"
object_79,3.6373911736912174,3.4387427306214966,1.3885426637650409,0.9453871102710867,0.38174136282294613,0.40379370384422,0.6182586371770539,0.1243667370751072,7,672093,595955,16.396331534143602,6.118163773805324,33245603278.790375,[-0.1973297   0.41249136  0.22079428],"[[ 0.02301164  0.15954389 -0.9869226 ]
 [ 0.81447852  0.56946703  0.11104972]
 [ 0.57973718 -0.80638269 -0.1168407 ]]"
object_80,4.947691857119813,2.6538990158439257,1.1422276031901673,0.5363913300350182,0.2308606995293133,0.43039603103622426,0.7691393004706867,0.7523838914625617,23,454222,400435,21.31230929266634,7.740335824897165,22507879894.27164,[-0.89364624  1.53617238  0.34462581],"[[-0.06810738  0.98078793  0.1828016 ]
 [-0.91647369  0.01090166 -0.3999464 ]
 [ 0.39425544  0.19477216 -0.89812385]]"
object_82,2.4077432141346846,2.0627033707276423,0.8278498161126232,0.856695746713569,0.3438281172397128,0.40134215508679255,0.6561718827602872,0.30174388843330907,6,585492,520621,11.623902518374457,4.627293304057176,29744483523.48992,[ 0.72774546  0.09795321 -0.9810103 ],"[[-0.80232919 -0.32563801  0.50022771]
 [ 0.24714221  0.58161141  0.77501542]
 [-0.54331262  0.74544487 -0.38616491]]"
object_83,2.565242554790728,2.5344498547912946,1.1564672540138135,0.9879961838532866,0.45082179533239414,0.4562991261506121,0.5491782046676059,0.029950737250115288,6,556419,494412,14.994692971511512,4.819205470406758,26753040929.44861,[ 0.068349   -0.16859266 -0.31191956],"[[-0.63330402 -0.19159915  0.7498105 ]
 [ 0.76306755  0.00696602  0.6462812 ]
 [ 0.12905013 -0.98144854 -0.14179148]]"
object_84,2.2336005229645104,1.83875453301722,1.2260517925369268,0.8232244370075462,0.5489127442133964,0.6667838314041262,0.4510872557866036,0.46129086213914133,30,474398,423067,11.783918704177184,4.123469937940601,23041155224.438843,[ 0.11816075 -0.5086169   0.03985153],"[[ 0.5826864  -0.14633681  0.7994136 ]
 [ 0.8070291  -0.01178239 -0.59039411]
 [ 0.09581539  0.98916465  0.11123262]]"
object_85,3.1630170153880877,1.8723452744009734,1.318519388733973,0.5919491628695033,0.4168549781172128,0.7042073952710522,0.5831450218827872,0.7862153073225325,30,376438,334224,15.144407822181597,4.189113919552085,17493548342.043575,[-0.47171421  0.22244473 -1.34011883],"[[-0.3264368  -0.42564217 -0.84395957]
 [-0.11277801  0.90403271 -0.4123178 ]
 [ 0.93846691 -0.03941562 -0.34311262]]"
object_87,10.04493903837191,3.929414881018173,2.673919827189933,0.39118354685953927,0.2661957247301845,0.680488039098859,0.7338042752698155,0.9115693889407083,7,417152,371400,42.19792989009766,13.489512691382549,19025232272.681717,[-3.04798043  1.94233955  3.17285066],"[[-0.5991297   0.34862862 -0.72076466]
 [ 0.43238669 -0.61677426 -0.65774711]
 [ 0.67385856  0.70572487 -0.2187854 ]]"
object_88,1.4865426952174128,1.4135427329806876,0.9893128867950407,0.9508927913933554,0.6655125950824774,0.6998818385270261,0.3344874049175226,0.17196931521383976,5,451247,398659,7.417614510009617,2.24436471831391,22218365834.06526,[ 0.29408238 -0.30380688  0.15220626],"[[-0.71201499 -0.23217627 -0.66266797]
 [ 0.59765071  0.29499772 -0.74551323]
 [-0.36857602  0.92686057  0.07128249]]"
object_91,6.971965256665209,2.757366164189904,1.9925077142945091,0.3954933885469177,0.2857885317758388,0.7226126657283817,0.7142114682241612,0.9186127543091277,30,417776,371604,22.06796048489122,10.16155811518096,20731138554.379208,[-0.32135057  3.37460483 -0.21760945],"[[ 0.19576721  0.88105019 -0.43061092]
 [-0.30798334  0.47212816  0.82597897]
 [-0.93103247  0.02907861 -0.36377599]]"
object_95,3.980519922443081,3.832060989009226,1.3055506616229446,0.9627036326091951,0.3279849585130705,0.3406915144011038,0.6720150414869295,0.08202554236580353,5,351781,313637,15.920104700561735,7.189189326900551,16381218606.220856,[ 0.32929571  0.19400816 -0.36989365],"[[-0.54264082 -0.2741594  -0.7939632 ]
 [ 0.83825063 -0.11639521 -0.5327176 ]
 [-0.05363602  0.95461447 -0.29297508]]"
object_97,2.810458968524945,2.3032106763103513,1.9508609523309308,0.8195140730053709,0.6941431894858192,0.847018022448615,0.3058568105141808,0.6337682722705587,6,312957,276606,15.688093223769012,4.961324318210115,14933373558.876154,[-0.17206513  0.00605454 -0.13218341],"[[-0.48008339  0.80281585  0.35356279]
 [-0.14982236 -0.47216534  0.86868472]
 [ 0.86433397  0.36406949  0.3469585 ]]"
object_99,3.5878345018962747,3.5130570812499102,1.271363332095301,0.9791580630023925,0.35435395122694446,0.36189657688196825,0.6456460487730555,0.047172824651796015,6,331286,296006,15.304703172924818,6.947806139923209,15397456938.319252,[-1.06339101  0.89549567  0.44822045],"[[ 0.90948992 -0.39196794  0.1385252 ]
 [-0.18243018 -0.0768809   0.98020843]
 [ 0.37356033  0.91676085  0.14142918]]"
object_100,3.744637972158247,3.5377022211250955,1.2797605641324115,0.9447381155209825,0.3417581548997681,0.361749091399052,0.6582418451002319,0.12168220919489312,20,353931,314787,17.394833014855468,6.352417101436294,16652249087.771814,[ 0.07762055  0.16912584 -0.13452427],"[[-0.61789584 -0.69388134  0.36977482]
 [ 0.37323111  0.15508322  0.9146845 ]
 [ 0.69202838 -0.70319121 -0.16315283]]"
object_101,2.518737001062115,2.4664461803555007,0.7465981167512775,0.979239269250992,0.29641765552991356,0.3027019696183546,0.7035823444700864,0.045048575784607414,6,364772,326058,11.130731822711871,4.749529296007229,17817623286.556713,[ 0.18491502 -0.08260915  0.17986025],"[[-0.3885777   0.79970684  0.45768585]
 [-0.55166438  0.19593782 -0.81072485]
 [-0.73802018 -0.56751858  0.36503271]]"
object_102,3.3282509730559364,3.121046672415819,1.7285356828242076,0.9377437872571651,0.5193525659025344,0.5538320519527027,0.4806474340974656,0.1651938438771059,5,380472,336681,19.873266049716655,5.057390810755053,18109361461.005272,[0.69786913 0.80201574 0.74951014],"[[ 0.20000586 -0.36983073  0.90731631]
 [ 0.64739151 -0.64520611 -0.40570101]
 [-0.73544673 -0.66853145 -0.11038027]]"
object_105,8.597162702609287,2.212449299366118,1.053730506236042,0.257346449741451,0.12256724022638642,0.47627328975987976,0.8774327597736136,0.9480145701906105,30,373349,331540,41.03225264503082,13.904094697880213,18607546177.1378,[ 2.68927586  2.62630747 -1.84537222],"[[-0.69152252  0.71503698  0.10256082]
 [ 0.45055488  0.53793229 -0.71248098]
 [-0.56462102 -0.44648737 -0.6941557 ]]"
object_106,2.025781186717223,1.9062727286143446,0.9363999831563066,0.9410062355764387,0.46224142533071017,0.4912203637498233,0.5377585746692899,0.14562187305848848,6,290393,257305,11.016160246434861,3.517679330009688,13845337285.979406,[ 0.22285581 -0.50939395  1.08319545],"[[-0.56473566 -0.79085587  0.23584027]
 [ 0.45206079 -0.05736036  0.89014091]
 [ 0.69044528 -0.60930845 -0.38990836]]"
object_107,4.3905418210104,3.9962751742859832,1.3765928620545236,0.9102009130541242,0.31353598671284877,0.34446898724897745,0.6864640132871512,0.19023534862126396,6,358073,318386,17.873581212383115,7.717435156641049,16908883522.169262,[ 1.13953311  1.7667486  -1.17134588],"[[ 0.46860072 -0.81713546 -0.33571269]
 [ 0.57457102  0.57057261 -0.58678364]
 [ 0.67103019  0.08207645  0.73687309]]"
object_110,3.335729796661106,3.217250356811267,1.2376850762548164,0.9644817035335324,0.3710387686357796,0.3847027551444677,0.6289612313642203,0.08091452780628125,6,340685,302161,12.32001709367309,6.076124955548988,16559637830.584116,[-0.61397521 -1.16950626 -0.52308893],"[[-0.55109871  0.1117376  -0.82692498]
 [-0.46368517 -0.86491314  0.19214921]
 [ 0.69374799 -0.48932603 -0.52846358]]"
object_112,2.762028165457166,2.446517235715927,1.1204693179370377,0.8857683879957768,0.4056690413045008,0.4579854585038939,0.5943309586954992,0.2578476772017045,20,330652,293759,11.506593039974863,4.9367381625780595,15957381664.801128,[ 0.31292236  0.19078568 -0.21793607],"[[ 0.27255383 -0.11113614  0.95570036]
 [ 0.66859637 -0.69241073 -0.27119416]
 [ 0.69187666  0.71289279 -0.11441397]]"
object_113,3.732158423680835,3.426198817063152,1.639535152491516,0.9180207344156814,0.43929945258715125,0.4785289004030661,0.5607005474128488,0.19483868094918974,6,365167,324305,15.61952749966528,6.257106082906255,17241818346.681644,[-0.62273879  2.5502872   1.95754563],"[[ 0.34262405  0.68228996 -0.64582441]
 [ 0.09733454  0.65795334  0.74674185]
 [ 0.9344168  -0.31871273  0.15902026]]"
object_114,3.963560234696397,3.841688870089138,1.8547548843053208,0.9692520467986292,0.4679517339156553,0.4827967456568874,0.5320482660843446,0.07752730878002403,12,337619,300151,17.118445553556782,7.031987783267296,15669015931.631796,[ 1.47516252 -0.73865715  0.15885994],"[[-0.19451374  0.23919426 -0.95128887]
 [-0.93224897 -0.34671558  0.10344162]
 [-0.30508403  0.90695888  0.29042955]]"
object_116,1.7064623186338497,1.6112298288053524,1.0832929395509636,0.9441930309338809,0.6348179668087957,0.6723391785479618,0.36518203319120435,0.18173936820347242,30,350503,310045,9.858050623003251,2.890219069579084,17070305114.81112,[-0.48679751  0.34055195 -0.13583672],"[[-0.65612512  0.69788099 -0.2871619 ]
 [ 0.67059441  0.71370949  0.20229162]
 [ 0.34612565 -0.05984055 -0.93627781]]"
object_118,4.977940650864626,4.322403882286462,2.0708691811072937,0.8683116544460404,0.4160092147236833,0.47910126806841724,0.5839907852763166,0.29752577176257705,30,310296,276284,21.613472353328277,9.06288823971585,14209929129.392097,[1.33034089 1.67552454 1.43835136],"[[-0.79823358 -0.44627     0.40455684]
 [ 0.60155193 -0.62513634  0.49733272]
 [ 0.03095851  0.64034963  0.7674594 ]]"
object_120,2.175755855887823,2.0647214048346845,0.9168069776353849,0.9489674125188874,0.42137401361205545,0.44403422926144875,0.5786259863879446,0.12093328804672436,6,361326,321129,10.314223674016176,3.927370145873515,17828950606.89182,[ 0.08654901 -0.19470101 -0.04059287],"[[ 0.33580379  0.84049352  0.42521344]
 [ 0.87789996 -0.4428706   0.18209146]
 [ 0.34136122  0.31214786 -0.88658684]]"
object_121,2.9581486306511824,2.8523811079009787,1.086237340149994,0.9642453656133834,0.3672017453399151,0.38081774456476425,0.6327982546600849,0.08117647747168948,11,300337,266620,12.087853513561068,5.4969518042974865,14436969218.703085,[ 0.7751433  0.788842  -0.7911831],"[[-0.46686029 -0.58314012 -0.66482259]
 [-0.83849425  0.05300409  0.54232643]
 [ 0.28101398 -0.81064059  0.51370515]]"
object_123,1.7540171327603655,1.6756382723266294,1.2694988419385662,0.9553146551593893,0.7237665004678182,0.7576210587359423,0.2762334995321818,0.18349616296343563,5,305231,270966,13.040726208168794,2.601697145962978,14169324705.661308,[ 0.08017227  0.29403485 -0.21895573],"[[ 0.19315965 -0.94055416 -0.27936934]
 [ 0.43919989 -0.1717273   0.88182379]
 [-0.87737837 -0.29303175  0.37992049]]"
object_137,1.9392458574149347,1.907921531192243,1.0912111396708575,0.9838471609451068,0.5626987086235009,0.5719371168210305,0.4373012913764991,0.04689224906290639,6,354703,313478,11.484375617543405,3.534352434044192,17389051246.063232,[0.05622304 0.0580818  0.03159434],"[[-0.54852029  0.55623098  0.62428567]
 [ 0.58844312  0.7872331  -0.18438746]
 [ 0.59402036 -0.26621634  0.75912362]]"
object_157,2.9746311918431827,2.7319003882158857,1.3463926489853282,0.9183996979884781,0.45262506917741874,0.4928410474968353,0.5473749308225813,0.19687584054479854,6,373710,332353,13.110277167421014,5.438468550866102,18117146105.047977,[0.36665439 0.50257992 1.15738252],"[[ 0.37249795 -0.00175156 -0.92803136]
 [ 0.79752335  0.51195825  0.31914771]
 [-0.4745543   0.85900855 -0.19210031]]"
